Rawfilenumber	Sample	Protease	run	replicate
EH4633	43	Ct+Tryp	run1	1
EH4634	43	Ct+Tryp	run1	2
EH4635	43	Ct+Tryp	run1	3
EH4639	44	Ct+Tryp	run1	1
EH4640	44	Ct+Tryp	run1	2
EH4641	44	Ct+Tryp	run1	3
EH4642	45	Ct+Tryp	run1	1
EH4643	45	Ct+Tryp	run1	2
EH4644	45	Ct+Tryp	run1	3
EH4645	46	Ct+Tryp	run1	1
EH4646	46	Ct+Tryp	run1	2
EH4647	46	Ct+Tryp	run1	3
EH4648	47	Ct+Tryp	run1	1
EH4649	47	Ct+Tryp	run1	2
EH4650	47	Ct+Tryp	run1	3
EH4654	48	Ct+Tryp	run1	1
EH4655	48	Ct+Tryp	run1	2
EH4656	48	Ct+Tryp	run1	3
EH4660	49	Ct+Tryp	run1	1
EH4661	49	Ct+Tryp	run1	2
EH4662	49	Ct+Tryp	run1	3
EH4666	50	Ct+Tryp	run1	1
EH4667	50	Ct+Tryp	run1	2
EH4668	50	Ct+Tryp	run1	3
EH4672	51	Ct+Tryp	run1	1
EH4673	51	Ct+Tryp	run1	2
EH4674	51	Ct+Tryp	run1	3
EH4678	52	Ct+Tryp	run1	1
EH4679	52	Ct+Tryp	run1	2
EH4680	52	Ct+Tryp	run1	3
EH4684	53	Ct+Tryp	run1	1
EH4685	53	Ct+Tryp	run1	2
EH4686	53	Ct+Tryp	run1	3
EH4690	54	Ct+Tryp	run1	1
EH4691	54	Ct+Tryp	run1	2
EH4692	54	Ct+Tryp	run1	3
EH4696	55	Ct+Tryp	run1	1
EH4697	55	Ct+Tryp	run1	2
EH4698	55	Ct+Tryp	run1	3
EH4699	56	Ct+Tryp	run1	1
EH4700	56	Ct+Tryp	run1	2
EH4701	56	Ct+Tryp	run1	3
EH4702	57	Ct+Tryp	run1	1
EH4703	57	Ct+Tryp	run1	2
EH4704	57	Ct+Tryp	run1	3
EH4705	58	Ct+Tryp	run1	1
EH4706	58	Ct+Tryp	run1	2
EH4707	58	Ct+Tryp	run1	3
